age,income,education,married,children,purchase_amount,gender_Female,gender_Male,occupation_Artist,occupation_Businessman,occupation_Doctor,occupation_Engineer,occupation_HR,occupation_Housewife,occupation_Lawyer,occupation_Retired,occupation_Salesman,occupation_Scientist,occupation_Unemployed,beauty,books,clothing,electronics,food,furniture,home,sports
45,61271.953358890096,3,0,3,87.69711834242366,False,True,False,False,True,False,False,False,False,False,False,False,False,0,0,1,1,0,0,0,1
24,53229.101073561775,1,0,1,115.13558622549095,True,False,False,True,False,False,False,False,False,False,False,False,False,1,0,0,0,0,1,0,0
45,30066.04668359846,2,1,3,101.69455857438264,True,False,False,False,False,True,False,False,False,False,False,False,False,0,0,1,1,1,0,0,1
19,48950.246384098704,4,0,0,97.9648871394473,False,True,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,1,0,0,0
29,44792.62709365476,3,0,0,86.84728090385065,True,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0
20,51266.76704661121,3,1,3,95.14510322277384,True,False,False,False,False,False,False,False,False,False,False,True,False,0,1,0,1,0,0,0,1
27,29578.136416224603,2,1,3,69.02284162170585,False,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,0,1,0,0
20,35325.309004722,4,0,3,110.56451724532606,True,False,False,False,False,False,False,True,False,False,False,False,False,1,1,0,0,0,0,0,0
51,40232.56435567347,4,1,0,107.83548978532892,False,True,False,False,False,False,False,False,False,False,True,False,False,0,0,0,1,1,0,1,1
19,48053.58388154555,4,1,0,108.85489809675543,False,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,1,1,0,0
57,60907.8446290855,4,1,0,78.8316751604477,True,False,False,False,False,False,True,False,False,False,False,False,False,0,0,1,0,0,0,1,0
27,51033.62793525259,4,1,2,138.6726183716063,True,False,False,False,False,False,False,False,False,False,False,True,False,0,1,0,0,1,0,0,0
63,53402.223922740784,1,0,0,118.088573489242,False,True,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,1,0
44,34683.652618289125,3,1,2,89.10146519803314,True,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,1,1,1,1
51,48815.17216047616,2,0,0,65.79762232863524,True,False,False,False,False,False,False,False,False,False,True,False,False,1,0,1,0,1,0,0,0
42,40527.46314949081,1,0,2,101.59731563602708,True,False,False,False,False,True,False,False,False,False,False,False,False,0,1,1,0,0,0,0,1
39,57062.63929819454,1,0,3,71.08020046512671,False,True,False,False,False,False,True,False,False,False,False,False,False,0,1,0,1,1,1,0,0
25,40668.47895115987,1,0,1,124.48710527906474,True,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,1,0,1,1,1
47,50144.63071970715,2,1,2,104.3738141829318,False,True,False,False,False,False,False,False,False,False,False,True,False,1,0,1,0,1,0,0,0
47,50595.565054651,3,1,1,112.43197735404532,True,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,1,1,0,0
36,34611.512757270495,1,1,1,79.24646899126734,True,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,1,0,1,0
62,51568.49387815004,2,0,0,118.09150586231826,False,True,False,False,False,True,False,False,False,False,False,False,False,0,0,1,0,0,0,1,1
25,46971.30830748288,3,0,1,109.7163683153318,True,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,0,1
64,50179.18942380713,1,1,3,95.4958279042497,False,True,False,True,False,False,False,False,False,False,False,False,False,0,1,0,1,1,0,0,0
23,47586.43186178855,3,1,2,105.25796285592376,False,True,False,False,False,False,True,False,False,False,False,False,False,0,1,0,1,0,0,0,0
48,57660.16177611229,4,1,1,116.65564110194168,False,True,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,1,1,0,1
57,46278.466041536674,3,0,3,77.01256568799062,False,True,False,False,False,True,False,False,False,False,False,False,False,0,1,1,0,1,1,0,0
50,45270.63857888708,3,0,0,92.14969322671688,True,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,1,0,1,0
25,60083.70355511571,2,1,0,126.6893927444526,False,True,False,False,False,False,False,True,False,False,False,False,False,1,0,0,0,1,0,1,0
64,63176.02957964427,3,0,0,118.54679803586475,False,True,False,False,False,False,False,False,False,False,False,True,False,0,1,0,1,0,1,0,1
27,61772.48070232014,4,0,2,80.25853405593523,False,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,0,0,1,0
50,40800.94509740489,1,1,2,80.7407132964585,True,False,False,False,False,False,False,False,False,False,False,False,True,1,1,1,0,0,0,0,1
31,57019.16955940884,2,0,0,119.80857156754274,True,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,1,1,1,0,0
57,62617.10045992293,1,1,3,128.026274693076,True,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,1,0,0
37,58970.41784222799,4,0,2,90.7600701716568,True,False,False,False,False,False,False,False,False,True,False,False,False,0,1,1,0,0,0,0,1
53,47683.6710820506,1,1,0,71.15952750332757,True,False,False,False,False,False,False,False,False,True,False,False,False,0,1,1,1,1,0,0,0
